year,team,skip,rank,round,champion_share,champion,playoff_rank_1,playoff_rank_2,playoff_rank_3,playoff_rank_4,total_games,games_won,games_lost,points_for,points_against,ends_won,ends_lost,blank_ends,stolen_ends,shot_percentage,last_stone_draw_cm,percentage_games_won,percentage_games_lost,ave_points_for,ave_points_against,ave_ends_won,ave_ends_lost,ave_blank_ends,ave_stolen_ends
2025,Canada (Homan),Rachel Homan,1,0,0,0,0,0,0,0,8,8,0,72,40,40,29,2,9,0.86,356.4,1,0,9.285714286,5.142857143,5,3.714285714,0.142857143,1
2025,Alberta (Skrlik),Kayla Skrlik,3,0,0,0,0,0,0,0,8,6,2,58,50,33,33,4,9,0.8,513.8,0.714285714,0.285714286,7.285714286,6.571428571,4,4.428571429,0.428571429,1
2025,British Columbia (Brown),Corryn Brown,9,0,0,0,0,0,0,0,8,6,2,68,39,45,26,2,22,0.85,421.7,0.714285714,0.285714286,8.428571429,5.285714286,5.571428571,3.428571429,0.285714286,2.571428571
2025,Alberta (Sturmay),Selena Sturmay,12,0,0,0,0,0,0,0,8,4,4,61,56,37,32,2,9,0.81,428.8,0.571428571,0.428571429,8.142857143,6.857142857,4.857142857,3.857142857,0.285714286,1.285714286
2025,Saskatchewan (Martin),Nancy Martin,22,0,0,0,0,0,0,0,8,5,3,58,55,36,35,4,6,0.77,452.7,0.625,0.375,7.25,6.875,4.5,4.375,0.5,0.75
2025,New Brunswich (Adams),Melissa Adams,53,0,0,0,0,0,0,0,8,2,6,43,60,29,39,4,2,0.76,779.5,0.285714286,0.714285714,5.714285714,7.285714286,3.857142857,4.857142857,0.571428571,0.285714286
2025,Nunavut (Weagle),Julia Weagle,136,0,0,0,0,0,0,0,8,0,8,31,65,24,39,4,4,0.73,1244.5,0,1,3.857142857,8.285714286,3.142857143,4.857142857,0.428571429,0.571428571
2025,Prince Edward Island (DiCarlo),Jane DiCarlo,87,0,0,0,0,0,0,0,8,1,7,37,75,30,41,1,8,0.72,778.9,0.142857143,0.857142857,5,9.428571429,4,5,0.142857143,1
2025,Northern Ontario (McCarville),Krista McCarville,17,0,0,0,0,0,0,0,8,4,4,64,52,32,32,3,11,0.79,603.7,0.428571429,0.571428571,7.857142857,7,3.857142857,4.285714286,0.285714286,1.142857143
2025,Manitoba (Einarson),Kerri Einarson,2,0,0,0,0,0,0,0,8,6,2,64,51,37,38,3,8,0.85,486.5,0.666666667,0.333333333,7.833333333,6.5,4.5,4.833333333,0.333333333,1.166666667
2025,Nova Scotia (Black),Christina Black,4,0,0,0,0,0,0,0,8,6,2,65,55,41,34,2,13,0.84,452.6,0.666666667,0.333333333,8.333333333,7.166666667,5,4.333333333,0.333333333,1.5
2025,Manitoba (Cameron),Kate Cameron,6,0,0,0,0,0,0,0,8,4,4,68,57,37,30,5,13,0.8,485.1,0.5,0.5,8.833333333,7.333333333,4.5,3.5,0.833333333,1.666666667
2025,Ontario (Inglis),Danielle Inglis,11,0,0,0,0,0,0,0,8,6,2,61,47,40,30,2,15,0.8,774.9,0.833333333,0.166666667,7.666666667,6,5.166666667,3.666666667,0.166666667,2
2025,Quebec  (St-Georges),Laurie St-Georges,19,0,0,0,0,0,0,0,8,5,3,64,46,36,28,2,12,0.82,386.8,0.714285714,0.285714286,8.285714286,5.571428571,4.714285714,3.142857143,0.428571429,2
2025,Yukon (Scoffin),Bayly Scoffin,NR,0,0,0,0,0,0,0,8,1,7,44,80,28,42,0,5,0.72,1213.4,0.166666667,0.833333333,5.5,10,3.333333333,5.5,0,0.5
2025,Manitoba (Lawes),Kaitlyn Lawes,5,0,0,0,0,0,0,0,8,4,4,64,46,33,35,3,8,0.83,241.8,0.571428571,0.428571429,8.285714286,5.285714286,4.142857143,4.285714286,0.428571429,1.142857143
2025,Northwest Territories (Galusha),Kerry Galusha,72,0,0,0,0,0,0,0,8,3,5,55,69,33,34,2,10,0.75,692.2,0.333333333,0.666666667,7.333333333,8.833333333,4.166666667,4.333333333,0,1.333333333
2025,Newfoundland and Labrador (Godsland),Brooke Godsland,85,0,0,0,0,0,0,0,8,1,7,44,78,27,41,3,4,0.74,1148.8,0,1,4.333333333,10.66666667,3.166666667,5.333333333,0,0.333333333
2024,Alberta (Sturmay),Selena Sturmay,5,quarter,0.25,0,0,0,1,0,8,7,1,64,43,37,32,4,8,0.83,350.7,0.875,0.125,8,5.375,4.625,4,0.5,1
2024,Canada (Einarson),Kerri Einarson,3,0,0,0,0,0,0,0,8,7,1,69,41,40,29,1,13,0.86,583.8,0.875,0.125,8.625,5.125,5,3.625,0.125,1.625
2024,Manitoba  (Lawes),Kaitlyn Lawes,4,0,0,0,0,0,0,0,8,4,4,53,46,30,35,9,3,0.83,231.6,0.5,0.5,6.625,5.75,3.75,4.375,1.125,0.375
2024,Northern Ontario (McCarville),Krista McCarville,23,0,0,0,0,0,0,0,8,4,4,55,46,37,31,4,12,0.81,370.3,0.5,0.5,6.875,5.75,4.625,3.875,0.5,1.5
2024,British Columbia (Brown),Corryn Brown,8,0,0,0,0,0,0,0,8,4,4,65,50,38,32,0,11,0.82,446.9,0.5,0.5,8.125,6.25,4.75,4,0,1.375
2024,Saskatchewan (Ackerman),Skylar Ackerman,12,0,0,0,0,0,0,0,8,4,4,51,64,35,34,1,9,0.75,575.5,0.5,0.5,6.375,8,4.375,4.25,0.125,1.125
2024,Quebec  (St-Georges),Laurie St-Georges,24,0,0,0,0,0,0,0,8,4,4,43,51,31,36,4,4,0.78,578.3,0.5,0.5,5.375,6.375,3.875,4.5,0.5,0.5
2024,Newfoundland and Labrador (Curtis),Stacie Curtis,90,0,0,0,0,0,0,0,8,2,6,46,70,29,42,0,5,0.76,847.4,0.25,0.75,5.75,8.75,3.625,5.25,0,0.625
2024,Prince Edward Island (DiCarlo),Jane DiCarlo,78,0,0,0,0,0,0,0,8,0,8,43,77,30,36,4,2,0.75,1008.1,0,1,5.375,9.625,3.75,4.5,0.5,0.25
2024,Ontario (Homan),Rachel Homan,1,champion,1,1,1,0,0,0,8,8,0,71,31,40,24,4,14,0.89,632.9,1,0,8.875,3.875,5,3,0.5,1.75
2024,Manitoba (Jones),Jennifer Jones,2,final,0.75,0,0,1,0,0,8,6,2,68,38,34,30,1,10,0.82,306.2,0.75,0.25,8.5,4.75,4.25,3.75,0.125,1.25
2024,Manitoba (Cameron),Kate Cameron,7,semi,0.5,0,0,0,0,1,8,5,3,52,52,34,29,5,8,0.81,484.7,0.625,0.375,6.5,6.5,4.25,3.625,0.625,1
2024,British Columbia (Grandy),Clancy Grandy,16,0,0,0,0,0,0,0,8,5,3,59,48,33,29,4,10,0.81,282.8,0.625,0.375,7.375,6,4.125,3.625,0.5,1.25
2024,Northwest Territories (Galusha),Kerry Galusha,19,0,0,0,0,0,0,0,8,3,5,55,58,32,36,4,7,0.8,276.5,0.375,0.625,6.875,7.25,4,4.5,0.5,0.875
2024,Nova Scotia (Smith),Heather Smith,36,0,0,0,0,0,0,0,8,3,5,52,55,33,32,7,7,0.79,516.9,0.375,0.625,6.5,6.875,4.125,4,0.875,0.875
2024,Ontario (Inglis) (Inglis),Danielle Inglis,6,0,0,0,0,0,0,0,8,3,5,60,58,33,33,5,10,0.79,568.2,0.375,0.625,7.5,7.25,4.125,4.125,0.625,1.25
2024,New Brunswich (Adams),Melissa Adams,46,0,0,0,0,0,0,0,8,2,6,42,73,25,44,1,5,0.71,562,0.25,0.75,5.25,9.125,3.125,5.5,0.125,0.625
2024,Yukon (Scoffin),Bayly Scoffin,NR,0,0,0,0,0,0,0,8,1,7,36,82,28,35,3,5,0.73,1035.7,0.125,0.875,4.5,10.25,3.5,4.375,0.375,0.625
2023,Canada (Einarson),Kerri Einarson,1,champion,1,1,0,0,1,0,8,8,0,78,41,38,30,2,10,0.86,393.9,1,0,9.75,5.125,4.75,3.75,0.25,1.25
2023,Nova Scotia (Black),Christina Black,9,quarter,0.25,0,0,0,0,1,8,5,3,59,46,36,29,5,11,0.78,362.4,0.625,0.375,7.375,5.75,4.5,3.625,0.625,1.375
2023,Quebec  (St-Georges),Laurie St-Georges,82,0,0,0,0,0,0,0,8,5,3,66,57,33,31,6,7,0.79,732.1,0.625,0.375,8.25,7.125,4.125,3.875,0.75,0.875
2023,British Columbia (Grandy),Clancy Grandy,5,0,0,0,0,0,0,0,8,5,3,60,53,36,31,2,11,0.8,320.5,0.625,0.375,7.5,6.625,4.5,3.875,0.25,1.375
2023,Manitoba (Lawes),Kaitlyn Lawes,4,0,0,0,0,0,0,0,8,5,3,63,49,37,29,8,11,0.82,323.6,0.625,0.375,7.875,6.125,4.625,3.625,1,1.375
2023,Alberta (Skrlik),Kayla Skrlik,10,0,0,0,0,0,0,0,8,4,4,66,55,32,34,4,7,0.82,649.2,0.5,0.5,8.25,6.875,4,4.25,0.5,0.875
2023,Prince Edward Island (Christianson),Marie Christianson,26,0,0,0,0,0,0,0,8,2,6,46,65,33,33,3,8,0.74,651.2,0.25,0.75,5.75,8.125,4.125,4.125,0.375,1
2023,Saskatchewan (Silvernagle),Robyn Silvernagle,49,0,0,0,0,0,0,0,8,2,6,54,70,27,38,3,3,0.79,764.7,0.25,0.75,6.75,8.75,3.375,4.75,0.375,0.375
2023,Nunavut (MacPhail),Brigitte MacPhail,117,0,0,0,0,0,0,0,8,0,8,31,87,21,38,4,2,0.68,1232.6,0,1,3.875,10.875,2.625,4.75,0.5,0.25
2023,Northern Ontario (McCarville),Krista McCarville,61,semi,0.5,0,1,0,0,0,8,7,1,64,46,40,21,3,13,0.82,453.9,0.875,0.125,8,5.75,5,2.625,0.375,1.625
2023,Manitoba (Jones),Jennifer Jones,3,final,0.75,0,0,1,0,0,8,7,1,68,48,42,28,3,15,0.82,278.6,0.875,0.125,8.5,6,5.25,3.5,0.375,1.875
2023,Ontario (Fleury),Tracy Fleury,2,0,0,0,0,0,0,0,8,6,2,63,43,31,31,8,5,0.84,308.6,0.75,0.25,7.875,5.375,3.875,3.875,1,0.625
2023,Northwest Territories (Galusha),Kerry Galusha,19,0,0,0,0,0,0,0,8,4,4,61,52,39,31,1,13,0.8,704.3,0.5,0.5,7.625,6.5,4.875,3.875,0.125,1.625
2023,Manitoba (Walter),Meghan Walter,7,0,0,0,0,0,0,0,8,3,5,52,57,33,34,5,8,0.76,447,0.375,0.625,6.5,7.125,4.125,4.25,0.625,1
2023,Alberta (Scheidegger),Casey Scheidegger,6,0,0,0,0,0,0,0,8,3,5,50,56,33,36,4,8,0.8,469.4,0.375,0.625,6.25,7,4.125,4.5,0.5,1
2023,New Brunswich (Kelly),Andrea Kelly,14,0,0,0,0,0,0,0,8,3,5,52,51,35,36,1,9,0.81,668.7,0.375,0.625,6.5,6.375,4.375,4.5,0.125,1.125
2023,Newfoundland and Labrador (Curtis),Stacie Curtis,60,0,0,0,0,0,0,0,8,2,6,55,74,32,39,0,8,0.78,661.1,0.25,0.75,6.875,9.25,4,4.875,0,1
2023,Yukon (Birnie),Hailey Birnie,NR,0,0,0,0,0,0,0,8,1,7,40,79,25,43,0,2,0.71,690,0.125,0.875,5,9.875,3.125,5.375,0,0.25
2022,Manitoba (Fleury),Tracy Fleury,1,quarter,0.25,0,0,0,0,1,8,7,1,67,38,39,25,6,15,0.8,n/a,0.875,0.125,8.375,4.75,4.875,3.125,0.75,1.875
2022,New Brunswick (Crawford),Andrea Crawford,22,semi,0.5,0,1,0,0,0,8,6,2,55,45,36,32,6,8,0.78,n/a,0.75,0.25,6.875,5.625,4.5,4,0.75,1
2022,Northern Ontario (McCarville),Krista McCarville,12,final,0.75,0,0,0,1,0,8,5,3,52,47,36,32,2,12,0.78,n/a,0.625,0.375,6.5,5.875,4.5,4,0.25,1.5
2022,Saskatchewan (Barker),Penny Barker,11,,0,0,0,0,0,0,8,4,4,51,54,34,32,5,14,0.72,n/a,0.5,0.5,6.375,6.75,4.25,4,0.625,1.75
2022,Prince Edward Island (Birt),Suzanne Birt,27,,0,0,0,0,0,0,8,4,4,56,54,35,36,1,10,0.76,n/a,0.5,0.5,7,6.75,4.375,4.5,0.125,1.25
2022,Saskatchewan (Carey),Chelsea Carey,5,,0,0,0,0,0,0,8,4,4,53,53,33,35,6,8,0.76,n/a,0.5,0.5,6.625,6.625,4.125,4.375,0.75,1
2022,Ontario (Miskew),Emma Miskew,NR,,0,0,0,0,0,0,8,4,4,67,47,35,30,4,12,0.79,n/a,0.5,0.5,8.375,5.875,4.375,3.75,0.5,1.5
2022,Newfoundland and Labrador (Hill),Sarah Hill,78,,0,0,0,0,0,0,8,2,6,48,57,29,39,4,7,0.74,n/a,0.25,0.75,6,7.125,3.625,4.875,0.5,0.875
2022,Nunavut (MacPhail),Brigitte MacPhail,96,,0,0,0,0,0,0,8,0,8,28,82,24,40,2,7,0.64,n/a,0,1,3.5,10.25,3,5,0.25,0.875
2022,Canada (Einarson),Kerri Einarson,4,champion,1,1,0,1,0,0,8,8,0,70,39,32,27,8,9,0.86,n/a,1,0,8.75,4.875,4,3.375,1,1.125
2022,Nova Scotia (Black),Christina Black,17,,0,0,0,0,0,0,8,5,3,56,47,35,36,3,9,0.77,n/a,0.625,0.375,7,5.875,4.375,4.5,0.375,1.125
2022,Northwest Territories (Galusha),Kerry Galusha,13,,0,0,0,0,0,0,8,5,3,59,51,36,35,1,11,0.77,n/a,0.625,0.375,7.375,6.375,4.5,4.375,0.125,1.375
2022,Manitoba (Zacharias),Mackenzie Zacharias,7,,0,0,0,0,0,0,8,5,3,59,50,36,33,7,9,0.79,n/a,0.625,0.375,7.375,6.25,4.5,4.125,0.875,1.125
2022,Ontario (Duncan),Hollie Duncan,8,,0,0,0,0,0,0,8,4,4,61,58,39,36,1,11,0.76,n/a,0.5,0.5,7.625,7.25,4.875,4.5,0.125,1.375
2022,Alberta (Walker),Laura Walker,3,,0,0,0,0,0,0,8,3,5,58,62,34,38,2,5,0.76,n/a,0.375,0.625,7.25,7.75,4.25,4.75,0.25,0.625
2022,Quebec  (St-Georges),Laurie St-Georges,76,,0,0,0,0,0,0,8,3,5,50,59,36,35,3,11,0.73,n/a,0.375,0.625,6.25,7.375,4.5,4.375,0.375,1.375
2022,British Columbia (Arsenault),Mary-Anne Arsenault,58,,0,0,0,0,0,0,8,3,5,57,62,33,34,3,9,0.76,n/a,0.375,0.625,7.125,7.75,4.125,4.25,0.375,1.125
2022,Yukon (Birnie),Hailey Birnie,107,,0,0,0,0,0,0,8,0,8,40,82,29,36,1,6,0.65,n/a,0,1,5,10.25,3.625,4.5,0.125,0.75
2021,Ontario (Homan),Rachel Homan,4,final,0.75,0,1,0,0,0,8,7,1,61,35,39,28,1,11,0.8,n/a,0.875,0.125,7.625,4.375,4.875,3.5,0.125,1.375
2021,Canada (Einarson),Kerri Einarson,1,champion,1,1,0,1,0,0,8,7,1,64,35,36,30,3,11,0.8,n/a,0.875,0.125,8,4.375,4.5,3.75,0.375,1.375
2021,Manitoba (Peterson),Beth Peterson,12,0,0,0,0,0,0,0,8,5,3,52,46,33,33,2,9,0.74,n/a,0.625,0.375,6.5,5.75,4.125,4.125,0.25,1.125
2021,Alberta (Walker),Laura Walker,7,semi,0.5,0,0,0,1,0,8,5,3,60,36,35,29,5,12,0.77,n/a,0.625,0.375,7.5,4.5,4.375,3.625,0.625,1.5
2021,Northwest Territories (Galusha),Kerry Galusha,31,0,0,0,0,0,0,0,8,4,4,54,50,33,34,5,8,0.73,n/a,0.5,0.5,6.75,6.25,4.125,4.25,0.625,1
2021,Manitoba (Zacharias),Mackenzie Zacharias,11,0,0,0,0,0,0,0,8,3,5,53,45,35,33,3,9,0.74,n/a,0.375,0.625,6.625,5.625,4.375,4.125,0.375,1.125
2021,Nova Scotia (Brothers),Jill Brothers,33,0,0,0,0,0,0,0,8,3,5,50,53,32,34,3,8,0.71,n/a,0.375,0.625,6.25,6.625,4,4.25,0.375,1
2021,Northern Ontarion (Burns),Krysta Burns,112,0,0,0,0,0,0,0,8,2,6,37,74,27,40,2,5,0.64,n/a,0.25,0.75,4.625,9.25,3.375,5,0.25,0.625
2021,Yukon (Eby),Laura Eby,NR,0,0,0,0,0,0,0,8,0,8,29,86,26,35,4,6,0.58,n/a,0,1,3.625,10.75,3.25,4.375,0.5,0.75
2021,Saskatchewan (Anderson),Sherry Anderson,14,0,0,0,0,0,0,0,8,6,2,60,44,36,32,5,10,0.76,n/a,0.75,0.25,7.5,5.5,4.5,4,0.625,1.25
2021,Manitoba (Jones),Jennifer Jones,3,quarter,0.25,0,0,0,0,0,8,6,2,64,39,37,30,3,12,0.83,n/a,0.75,0.25,8,4.875,4.625,3.75,0.375,1.5
2021,Quebec  (St-Georges),Laurie St-Georges,28,0,0,0,0,0,0,0,8,6,2,60,50,33,31,6,7,0.74,n/a,0.75,0.25,7.5,6.25,4.125,3.875,0.75,0.875
2021,Manitoba (Carey),Chelsea Carey,2,0,0,0,0,0,0,0,8,5,3,64,38,37,27,6,12,0.81,n/a,0.625,0.375,8,4.75,4.625,3.375,0.75,1.5
2021,British Columbia (Brown),Corryn Brown,8,0,0,0,0,0,0,0,8,4,4,59,53,38,31,1,14,0.78,n/a,0.5,0.5,7.375,6.625,4.75,3.875,0.125,1.75
2021,Prince Edward Island (Birt),Suzanne Birt,9,0,0,0,0,0,0,0,8,4,4,63,62,32,33,5,8,0.76,n/a,0.5,0.5,7.875,7.75,4,4.125,0.625,1
2021,New Brunswick (Adams),Melissa Adams,50,0,0,0,0,0,0,0,8,3,5,48,69,33,35,3,11,0.68,n/a,0.375,0.625,6,8.625,4.125,4.375,0.375,1.375
2021,Newfoundland and Labrador (Hill),Sarah Hill,NR,0,0,0,0,0,0,0,8,2,6,40,67,27,40,0,6,0.68,n/a,0.25,0.75,5,8.375,3.375,5,0,0.75
2021,Nunavut (Eddy),Lori Eddy,100,0,0,0,0,0,0,0,8,0,8,35,71,24,38,3,4,0.66,n/a,0,1,4.375,8.875,3,4.75,0.375,0.5
2020,Manitoba (Einarson),Kerri Einarson,2,champion,1,1,1,0,0,0,7,6,1,54,44,31,30,2,8,0.83,n/a,0.857142857,0.142857143,7.714285714,6.285714286,4.428571429,4.285714286,0.285714286,1.142857143
2020,Northern Ontario (McCarville),Krista McCarville,27,quarter,0.25,0,0,0,0,1,7,5,2,46,33,31,25,8,12,0.8,n/a,0.714285714,0.285714286,6.571428571,4.714285714,4.428571429,3.571428571,1.142857143,1.714285714
2020,Canada (Carey),Chelsea Carey,5,0,0,0,0,0,0,0,7,4,3,44,44,36,28,2,9,0.82,n/a,0.571428571,0.428571429,6.285714286,6.285714286,5.142857143,4,0.285714286,1.285714286
2020,Saskatchewan (Silvernagle),Robyn Silvernagle,12,0,0,0,0,0,0,0,7,4,3,44,43,26,29,8,7,0.81,n/a,0.571428571,0.428571429,6.285714286,6.142857143,3.714285714,4.142857143,1.142857143,1
2020,New Brunswick (Crawford),Andrea Crawford,45,0,0,0,0,0,0,0,7,4,3,46,43,26,29,8,7,0.79,n/a,0.571428571,0.428571429,6.571428571,6.142857143,3.714285714,4.142857143,1.142857143,1
2020,Alberta (Walker),Laura Walker,7,0,0,0,0,0,0,0,7,3,4,42,35,30,26,2,7,0.82,n/a,0.428571429,0.571428571,6,5,4.285714286,3.714285714,0.285714286,1
2020,Nunavut (Eddy),Lori Eddy,133,0,0,0,0,0,0,0,7,2,5,35,47,26,30,7,7,0.67,n/a,0.285714286,0.714285714,5,6.714285714,3.714285714,4.285714286,1,1
2020,Quebec (Verreault),Noemie Verreault,31,0,0,0,0,0,0,0,7,0,7,36,58,21,37,1,1,0.71,n/a,0,1,5.142857143,8.285714286,3,5.285714286,0.142857143,0.142857143
2020,Ontario (Homan),Rachel Homan,4,finals,0.75,0,0,0,1,0,7,6,1,64,42,33,28,3,7,0.83,n/a,0.857142857,0.142857143,9.142857143,6,4.714285714,4,0.428571429,1
2020,Manitoba (Jones),Jennifer Jones,3,semi,0.5,0,0,1,0,0,7,6,1,63,42,35,28,2,9,0.79,n/a,0.857142857,0.142857143,9,6,5,4,0.285714286,1.285714286
2020,Prince Edward Island (Birt),Suzanne Birt,9,0,0,0,0,0,0,0,7,5,2,57,42,35,29,2,10,0.8,n/a,0.714285714,0.285714286,8.142857143,6,5,4.142857143,0.285714286,1.428571429
2020,British Columbia (Brown),Corryn Brown,8,0,0,0,0,0,0,0,7,4,3,56,51,30,32,4,7,0.79,n/a,0.571428571,0.428571429,8,7.285714286,4.285714286,4.571428571,0.571428571,1
2020,Nova Scotia (Arsenault),Mary-Anne Arsenault,31,0,0,0,0,0,0,0,7,4,3,54,45,33,27,2,12,0.77,n/a,0.571428571,0.428571429,7.714285714,6.428571429,4.714285714,3.857142857,0.285714286,1.714285714
2020,Northwest Territories (Galusha),Kerry Galusha,NR,0,0,0,0,0,0,0,7,2,5,49,51,29,30,1,7,0.75,n/a,0.285714286,0.714285714,7,7.285714286,4.142857143,4.285714286,0.142857143,1
2020,Newfoundland and Labrador (Curtis),Erica Curtis,NR,0,0,0,0,0,0,0,7,1,6,31,60,24,33,1,5,0.71,n/a,0.142857143,0.857142857,4.428571429,8.571428571,3.428571429,4.714285714,0.142857143,0.714285714
2020,Yukon (Birnie),Hailey Birnie,NR,0,0,0,0,0,0,0,7,0,7,26,67,21,33,4,3,0.66,n/a,0,1,3.714285714,9.571428571,3,4.714285714,0.571428571,0.428571429
2019,Alberta (Carey),Chelsea Carey,4,champion,1,1,1,0,0,0,7,7,0,57,36,33,25,10,7,0.82,n/a,1,0,8.142857143,5.142857143,4.714285714,3.571428571,1.428571429,1
2019,Ontario (Homan),Rachel Homan,1,final,0.75,0,0,0,1,0,7,5,2,52,31,28,25,12,8,0.83,n/a,0.714285714,0.285714286,7.428571429,4.428571429,4,3.571428571,1.714285714,1.142857143
